dataset,model,sample_id,S,stable_at_0.05,stable_at_0.10,stable_at_0.15,stable_at_0.20,n_variants_used
MeetingBank,gemini-2.5-flash-lite,13,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,14,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,15,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,16,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,17,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,18,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,19,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,20,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,21,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,22,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,23,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,24,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,25,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,26,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,27,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,28,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,29,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,30,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,31,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,32,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,33,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,34,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,35,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,36,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,37,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,38,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,39,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,40,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,41,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,42,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,43,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,44,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,45,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,46,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,47,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,48,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,49,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,50,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,51,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,52,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,53,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,54,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,55,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,56,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,57,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,58,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,59,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,60,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,61,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,62,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,63,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,64,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,65,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,66,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,67,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,68,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,69,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,70,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,71,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,72,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,73,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,74,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,75,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,76,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,77,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,78,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,79,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,80,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,81,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,82,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,83,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,84,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,85,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,86,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,87,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,88,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,89,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,90,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,91,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-flash-lite,92,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,1,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,2,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,3,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,4,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,5,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,6,1.0,0,0,0,0,1
MeetingBank,gemini-2.5-pro,7,1.0,0,0,0,0,1
